"code","name","offName","alias","localName","zone","address","nearestStations","trackType","lat","lng","priority","type","updatedOnNum"
"HWH","Howrah Jn","HOWRAH JN","havrah haawrah havdah calcutta kolkatta kolkata howrah sealdah","","4","Lower Foreshore road, Ph no; 033-26411326, Pin- 711101 , Dist - Howrah, West Bengal","HWH:0,LLH:4,SDAH:4,NKG:5,SHM:5,KOAA:6,KGK:6,BALT:6,BEQ:6,SRC:7,BNXR:7,BKNM:8,BLY:8,BTNG:9,UPA:9,CCRL:9,BLYC:9,DDJ:10,DAKE:10,MRGF:10,BZL:11,HMZ:11,ADL:12,CCLW:12,BLH:12,KOG:13,DKAE:15,AGP:15,RIS:16,SGTY:17,SEP:17,SRP:19,KDH:20,JOX:20,TGH:20,BP:22,SHE:22,BVA:24,PTF:24,BBAE:24,","4","22.58382","88.34221","9","2","1670678232"
"BWN","Barddhaman Jn","BARDDHAMAN JN","burdwan burdhwan","Burdwan","4","Grand Trunk Road , Barddhaman town , Ph - 0342-2662534, Pin - 713103 , Dist- Purba Barddhaman, West Bengal","BWN:0,BWNU:2,GRP:7,TIT:7,SKG:12,KAN:13,PLAE:16,JTL:17,RSLR:20,GLI:22,NMF:23,MSAE:23,MFCK:23,BPS:23,HPUR:25,","14","23.24976","87.87004","8","1","1578030029"
"PAN","Panagarh","PANAGARH","","","4","Natunpara, Panagarh, Kanksa block, Pincode-713148, Dist - Paschim Bardhaman, Tel-0343-2524245, West Bengal","PAN:0,RBH:8,MNAE:10,DGR:16,PAJ:18,OYR:25,GLI:25,","14","23.44291","87.45849","5","0","0"
"DGR","Durgapur","DURGAPUR","","","4","Durgapur Railway Station Complex, Durgapur - 713201, Dist - Paschim Bardhaman, West Bengal","DGR:0,RBH:8,OYR:9,PAN:16,UDL:17,KJME:22,RNG:24,SSCR:24,","14","23.4951","87.31737","6","0","0"
"UDL","Andal Jn","ANDAL JN","","","4","[Tel ; 0341-2373225] Station Road, Baska, Andal, District Paschim Bardhaman - 713 321, West Bengal","UDL:0,KJME:5,RNG:7,SSCR:7,OYR:8,SXD:9,TOP:11,UKA:12,DGR:17,KPK:20,PAW:20,BMGA:23,RBH:25,ASN:25,","14","23.5794","87.18123","5","1","1589134722"
"RNG","RaniGanj","RANIGANJ","Ganj","","4","0341-2445240, Station Rd, PIN 713347, Dist - Paschim Bardhaman, West Bengal","RNG:0,UDL:7,KJME:12,SSCR:12,KPK:13,OYR:15,TOP:16,SXD:16,ASN:18,UKA:19,BURN:23,BCQ:23,DGR:24,DMA:25,","14","23.60365","87.11758","5","0","0"
"ASN","Asansol Jn","ASANSOL JN","","","4","Railpar Station Road, Asansol-713301:Phone(Enquiry) No. 0341-2306131 , Dist - Paschim Bardhaman, West Bengal","ASN:0,KPK:5,BCQ:5,BURN:5,DMA:9,STN:9,MDKD:14,ULT:14,SLS:14,BRR:17,RNG:18,KMME:20,RNPR:21,MDF:21,BBI:23,MMU:24,UDL:25,","14","23.69132","86.97534","9","1","0"
"INDB","Indore Jn","INDORE JN BG","","","16","Chhoti Gwaltoli, Indore 452007, Madhya Pradesh","INDB:0,SFNR:2,LKMN:3,LMNR:4,RJQ:6,RAU:11,PLA:15,MGG:15,HKH:17,DADN:21,BLDK:22,","3","22.717285","75.867913","6","1","0"
"DWX","Dewas Jn","DEWAS","","","16","Jn. Point - INDB,MKC ,UJN. Itawa, Dewas - 455001, Madhya Pradesh","DWX:0,NRGR:9,BLAX:13,UDM:15,RCJ:21,KDHA:22,MGG:24,","3","22.977946","76.051753","5","1","0"
"UJN","Ujjain Jn","UJJAIN JN","","","16","Station Road, Malipura, Ujjain - 456001, Madhya Pradesh","UJN:0,VRG:5,CNN:6,PLW:9,NKI:12,TJP:15,KDHA:18,ASL:20,FTD:23,UDM:25,SVT:25,","4","23.17837","75.78008","7","1","0"
"SJP","Shujalpur","SHUJALPUR","","","16","SH 41, Shujalpur, district Shajapur, Madhya Pradesh","SJP:0,MQE:6,CKOD:7,AKD:13,KPP:13,JBX:20,BLX:25,","3","23.3808","76.723","5","0","0"
"BPL","Bhopal Jn","BHOPAL  JN","Bopal","","15","80 Feet Road, Bajaria, Navbahar Colony, Bhopal - 462 001, Madhya Pradesh","BPL:0,NSZ:2,RKMP:6,SHRN:11,SUW:11,MSO:12,BQE:19,BVB:19,MDDP:22,","4","23.267936","77.413526","8","1","1727469310"
"ET","Itarsi Jn","ITARSI JN","","","15","Jn. Pt. BPL/JBP/AMLA/KNW, Foot Over Bridge, Venkatesh Colony, Itarsi, District - Hoshangabad,PIN - 461111, Madhya Pradesh","ET:0,JUH:1,JHP:3,PRKD:8,GRO:10,KRTH:11,DRA:12,NDPM:18,SQL:19,TAKU:22,BGTA:25,DKI:25,BNI:25,","15","22.608","77.76676","9","1","1662646580"
"GDYA","Ghoradongri","GHORADONGRI","","","1","Ghoradongri, Dist. Betul, PIN - 460443, Madhya Pradesh","GDYA:0,BBTR:11,DHQ:16,MGRD:18,DOH:22,","15","22.1262","78.0022","4","0","0"
"BZU","Betul","BETUL","","","1","Near Kantishiva & SS Cineplex, Railway station road , Ganj, Betul-460001, Madhya Pradesh","BZU:0,MALK:6,MJY:9,BYS:13,DHQ:21,AMLA:23,","15","21.89685","77.90655","6","0","0"
"AMLA","Amla Jn","AMLA JN","","","1","Near PNB Bank, Amla, District Betul 460551, Madhya Pradesh","AMLA:0,LLD:7,BYS:10,JKR:12,JMV:14,MALK:17,BCRD:20,BZU:23,MTY:23,","15","21.920086","78.124143","5","1","1725825952"
"PAR","Pandhurna","PANDHURNA","","","1","Nandpur, Pandhurna, District Pandhurna - 480 334, Madhya Pradesh","PAR:0,TEO:9,DDMT:9,GDKP:17,NRKR:18,TNH:25,","4","21.58977","78.52564","4","0","0"
"NGP","Nagpur Jn","NAGPUR","nagpur nagpur nagpur nagpur nagpur nagpur nagpur nagpur nagpur nagpur nagpur","","1","Jn. Pt. BD/G/ET/CWA/NAB, Near Railway Station Road, Tekdi Road, Jai Stambh Chowk, Sitabuldi, Nagpur. Pin - 440001., Maharashtra","NGP:0,AJNI:3,NITR:4,KAV:6,GNQ:7,KRI:12,KP:14,BWRA:14,KRDH:16,GMG:18,KNHN:18,KPKD:19,KSWR:25,","15","21.15211","79.08847","9","1","1688818787"
"SEGM","Sewagram Jn","SEVAGRAM","sevagram","","1","Junction Point MJRI/NGP/WR ,Sevagram, Wardha, Maharashtra","SEGM:0,WR:3,CHJC:4,BPK:10,SLOR:11,DAE:17,SNN:17,DELI:19,TGP:21,WG:25,","15","20.7389","78.61879","5","1","0"
"HGT","Hinganghat","HINGANGHAT","","","1","National Highway 7, Hinganghat Dist.Wardha, PIN 442301, Maharashtra","HGT:0,WG:8,SNN:16,NGI:17,BPK:23,","4","20.542289","78.833891","4","0","0"
"CD","Chandrapur","CHANDRAPUR","","","1","State Highway 264, Bazar Ward, Ph ; 07172 - 250500, Chandrapur 442402, Maharashtra","CD:0,CAF:3,BUPH:5,GNVR:10,BPQ:14,TAE:14,BUX:24,MAGH:24,","15","19.960151","79.299926","6","0","0"
"BPQ","Balharshah","BALHARSHAH","","Ballarpur","1","Pedestrian Overpass, Dr. Babasaheb Ambedkar Ward 25, Balharshah 442901, Maharashtra","BPQ:0,GNVR:4,BUPH:9,MAGH:10,CAF:11,CD:14,","15","19.84989","79.34757","7","1","1674848873"
