"trnNumber","stnCode","trnNumberXO","type","departureDaysOfWeek","updatedOnNum"
"12971","ADI","12972","C","127","1756000000"
"12971","ADI","12951","O","127","1756000000"
"12971","ADI","12952","C","127","1756000000"
"12971","BRC","12951","C","127","1756000000"
"12971","BRC","12952","O","127","1756000000"
"12971","ST","12951","O","127","1756000000"
"12971","VG","12756","C","127","1756000000"
"12971","BDTS","12951","C","127","1756000000"
"12972","ADI","12971","C","127","1756000000"
"12972","ADI","12951","C","127","1756000000"
"12972","ADI","12952","O","127","1756000000"
"12972","BRC","12951","O","127","1756000000"
"12972","BRC","12952","C","127","1756000000"
"12972","ST","12952","C","127","1756000000"
"12972","VG","12755","C","127","1756000000"
"12972","BDTS","12952","C","127","1756000000"
"12951","NDLS","12952","C","127","1756000000"
"12951","NDLS","12301","O","127","1756000000"
"12951","NDLS","12302","C","127","1756000000"
"12951","KOTA","12903","C","127","1756000000"
"12951","KOTA","12904","O","127","1756000000"
"12951","RTM","12903","O","127","1756000000"
"12951","BRC","12971","O","127","1756000000"
"12951","BRC","12972","C","127","1756000000"
"12951","ST","12971","C","127","1756000000"
"12951","ADI","12971","O","127","1756000000"
"12951","ADI","12972","C","127","1756000000"
"12951","BVI","12953","C","127","1756000000"
"12951","MMCT","12953","O","127","1756000000"
"12952","NDLS","12951","C","127","1756000000"
"12952","NDLS","12301","C","127","1756000000"
"12952","NDLS","12302","O","127","1756000000"
"12952","KOTA","12903","O","127","1756000000"
"12952","KOTA","12904","C","127","1756000000"
"12952","RTM","12904","C","127","1756000000"
"12952","BRC","12971","C","127","1756000000"
"12952","BRC","12972","O","127","1756000000"
"12952","ST","12972","O","127","1756000000"
"12952","ADI","12971","C","127","1756000000"
"12952","ADI","12972","O","127","1756000000"
"12952","BVI","12954","O","127","1756000000"
"12952","MMCT","12954","C","127","1756000000"
"12301","NDLS","12302","C","127","1756000000"
"12301","NDLS","12951","O","127","1756000000"
"12301","NDLS","12952","C","127","1756000000"
"12301","CNB","12302","O","127","1756000000"
"12301","CNB","12303","C","127","1756000000"
"12301","DDU","12302","C","127","1756000000"
"12301","DDU","12313","O","127","1756000000"
"12301","GAYA","12303","O","127","1756000000"
"12301","GAYA","12381","C","127","1756000000"
"12301","DHN","12303","C","127","1756000000"
"12301","DHN","12381","O","127","1756000000"
"12301","ASN","12303","O","127","1756000000"
"12301","HWH","12302","C","127","1756000000"
"12301","HWH","12303","O","127","1756000000"
"12302","NDLS","12301","C","127","1756000000"
"12302","NDLS","12951","C","127","1756000000"
"12302","NDLS","12952","O","127","1756000000"
"12302","CNB","12301","C","127","1756000000"
"12302","CNB","12304","O","127","1756000000"
"12302","DDU","12301","O","127","1756000000"
"12302","DDU","12314","C","127","1756000000"
"12302","GAYA","12304","C","127","1756000000"
"12302","GAYA","12382","O","127","1756000000"
"12302","DHN","12304","O","127","1756000000"
"12302","DHN","12382","C","127","1756000000"
"12302","ASN","12304","C","127","1756000000"
"12302","HWH","12301","O","127","1756000000"
"12302","HWH","12304","C","127","1756000000"
"12941","BVC","12942","C","4","1756000000"
"12941","SGD","12942","O","4","1756000000"
"12941","DLJ","12756","C","4","1756000000"
"12941","BTD","12756","O","4","1756000000"
"12941","JVN","12756","C","4","1756000000"
"12941","VG","12756","O","4","1756000000"
"12941","ADI","12834","C","4","1756000000"
"12941","ADI","19224","C","4","1756000000"
"12941","ADI","22185","O","4","1756000000"
"12941","ND","12834","C","4","1756000000"
"12941","ND","19035","O","4","1756000000"
"12941","CYI","12834","O","4","1756000000"
"12941","BRC","12989","C","4","1756000000"
"12941","BRC","19035","O","4","1756000000"
"12941","GDA","12989","O","4","1756000000"
"12941","RTM","12903","C","4","1756000000"
"12941","KOTA","12990","C","4","1756000000"
"12941","KOTA","12903","O","4","1756000000"
"12941","SWM","12903","C","4","1756000000"
"12941","MTJ","12903","O","4","1756000000"
"12941","AGC","12951","C","4","1756000000"
"12941","TDL","12951","O","4","1756000000"
"12941","PRYJ","12403","C","4","1756000000"
"12941","PRYJ","12317","O","4","1756000000"
"12941","DDU","12317","C","4","1756000000"
"12941","DDU","12318","O","4","1756000000"
"12941","MGS","12317","O","4","1756000000"
"12941","ASN","12341","C","4","1756000000"
"12941","ASN","12342","O","4","1756000000"
"12942","BVC","12941","C","68","1756000000"
"12942","SGD","12941","C","68","1756000000"
"12942","DLJ","12755","O","68","1756000000"
"12942","BTD","12755","C","68","1756000000"
"12942","JVN","12755","O","68","1756000000"
"12942","VG","12755","C","68","1756000000"
"12942","ADI","12833","C","68","1756000000"
"12942","ADI","19223","O","68","1756000000"
"12942","ND","12833","O","68","1756000000"
"12942","CYI","12833","C","68","1756000000"
"12942","BRC","12990","O","68","1756000000"
"12942","GDA","12990","C","68","1756000000"
"12942","RTM","12904","O","68","1756000000"
"12942","KOTA","12989","O","68","1756000000"
"12942","KOTA","12904","C","68","1756000000"
"12942","SWM","12904","O","68","1756000000"
"12942","AGC","12952","O","68","1756000000"
"12942","PRYJ","12404","O","68","1756000000"
"12942","PRYJ","12318","C","68","1756000000"
"12942","DDU","12318","O","68","1756000000"
"12942","DDU","12317","C","68","1756000000"
"12942","MGS","12318","C","68","1756000000"
"12942","ASN","12342","O","68","1756000000"
"12942","ASN","12341","C","68","1756000000"
"12903","MMCT","12904","C","127","1756000000"
"12903","MMCT","12951","O","127","1756000000"
"12903","BRC","12904","O","127","1756000000"
"12903","BRC","12951","C","127","1756000000"
"12903","RTM","12904","C","127","1756000000"
"12903","RTM","12941","O","127","1756000000"
"12903","KOTA","12904","O","127","1756000000"
"12903","KOTA","12941","C","127","1756000000"
"12903","SWM","12941","O","127","1756000000"
